travel_time_sec,temperature_2m (°C),precipitation (mm),relative_humidity_2m (%),visibility (m),wind_speed_10m (km/h),bias
421,-3.3,0,51,35500,10.7,1
525,-3.5,0,51,34000,11.9,1
438,-3.5,0,51,34000,11.9,1
500,-3.6,0,46,38400,12.9,1
423,-3.6,0,46,38400,12.9,1
528,-1.9,0,41,47000,22,1
518,-1.9,0,41,47000,22,1
507,-1.3,0,38,53300,23.8,1
503,-1.3,0,38,53300,23.8,1
457,-1.9,0,38,50700,27,1
495,-1.9,0,38,50700,27,1
445,-2.2,0,39,49900,23.1,1
474,-2.2,0,39,49900,23.1,1
420,-3.5,0,44,45400,15.9,1
475,-3.5,0,44,45400,15.9,1
500,-3.6,0,45,39100,14.2,1
502,-4.2,0,50,37400,13,1
505,-3.4,0,46,36800,15.5,1
494,-3.2,0,42,37500,18.7,1
454,-3.6,0,43,46200,11.8,1
442,-3.5,0,52,37000,11.9,1
468,-3.5,0,52,37000,11.9,1
487,-3.6,0,50,33100,11.5,1
450,-3.6,0,50,33100,11.5,1
450,-3.4,0,46,42300,15.6,1
465,-3.4,0,46,42300,15.6,1
461,-3.7,0,44,38300,14.2,1
464,-3.7,0,44,38300,14.2,1
448,-4.1,0,51,37600,11.6,1
675,-4.1,0,51,37600,11.6,1
529,-3.1,0,47,32000,19,1
644,-3.1,0,47,32000,19,1
518,-2,0,41,45100,23.4,1
440,-2,0,41,45100,23.4,1
641,-1.8,0,41,49100,22.1,1
467,-1.8,0,41,49100,22.1,1
559,-0.9,0,37,51200,27,1
453,-0.9,0,37,51200,27,1
483,-2,0,39,50400,26.3,1
493,-2.3,0,39,50200,22.8,1
489,-2.3,0,39,50200,22.8,1
468,-3.6,0,44,45100,14.4,1
483,-3.6,0,44,45100,14.4,1
451,-3.5,0,43,45400,13.3,1
469,-3.5,0,43,45400,13.3,1
453,-2,0,39,49200,25.9,1
437,-2,0,39,49200,25.9,1
498,-3.5,0,52,34500,11.2,1
505,-3.6,0,48,31600,11.2,1
455,-3.6,0,48,31600,11.2,1
490,-3.6,0,46,40900,15.2,1
471,-3.6,0,46,40900,15.2,1
448,-3.9,0,43,38600,14.9,1
461,-4.4,0,51,35000,9,1
541,-4.4,0,51,35000,9,1
505,-3.1,0,48,33100,22.4,1
487,-3.1,0,48,33100,22.4,1
484,-2.7,0,41,41600,19.9,1
501,-2.7,0,41,41600,19.9,1
448,-1.7,0,40,49900,22.4,1
441,-1.7,0,40,49900,22.4,1
499,-1.7,0,37,51800,25.6,1
477,-2.7,0,40,50600,21.7,1
467,-3.6,0,44,45800,14.1,1
491,-3.6,0,44,45800,14.1,1
518,-3.5,0,43,45200,12.6,1
458,-3.5,0,53,32600,12.6,1
464,-3.5,0,53,32600,12.6,1
508,-3.7,0,43,44100,15.5,1
483,-3.7,0,43,44100,15.5,1
549,-1.5,0,37,53400,25.9,1
524,-1.5,0,37,53400,25.9,1
449,-1.9,0,39,48900,25.7,1
466,-1.9,0,39,48900,25.7,1
479,-3,0,41,49000,19.5,1
462,-3,0,41,49000,19.5,1
453,-3.5,0,44,42500,13.9,1
457,-3.4,0,47,41300,16.2,1
487,-3.6,0,46,40400,15.7,1
481,-4.6,0,49,34000,8.3,1
493,-3.2,0,48,37900,23.6,1
487,-2.5,0,41,42800,20.7,1
524,-1,0,40,48000,25.6,1
462,-3.4,0,44,44400,11.7,1
467,-3.4,0,44,40000,16.1,1
469,-1.8,0,39,48800,23.8,1
459,-3.3,0,49,36100,11.4,1
469,-3.3,0,49,36100,11.4,1
478,-2.8,0,51,32800,15.5,1
474,-2.8,0,51,32800,15.5,1
447,-2.7,0,50,36000,14.3,1
463,-2.7,0,50,36000,14.3,1
508,-3.1,0,51,33300,13.1,1
487,-3.1,0,51,33300,13.1,1
498,-3.4,0,54,34100,7.3,1
490,-3.4,0,54,34100,7.3,1
496,-1.9,0,55,35600,17.9,1
499,-0.2,0,47,39600,22.2,1
530,-0.2,0,47,39600,22.2,1
489,0.5,0,40,47100,26.3,1
506,0.5,0,40,47100,26.3,1
477,0.7,0,41,47700,24.2,1
494,0.7,0,41,47700,24.2,1
465,-0.1,0,42,46800,25.4,1
436,-0.1,0,42,46800,25.4,1
520,-0.5,0,40,46800,21.6,1
482,-0.5,0,40,46800,21.6,1
503,-1.8,0,50,39300,16.9,1
500,-1.8,0,50,39300,16.9,1
542,-3.1,0,51,36800,17.7,1
484,-3.1,0,51,36800,17.7,1
450,-2.8,0,51,32000,15.5,1
449,-3.2,0,52,31800,12.9,1
470,-3.2,0,55,32500,7.2,1
475,-1.5,0,53,38700,20,1
486,-0.6,0,46,43200,23,1
483,0.6,0,39,47900,26.6,1
481,0.3,0,41,49100,24.3,1
509,-1.9,0,50,38600,16.9,1
463,-3.4,0,50,37600,16.4,1
444,-2.6,0,50,36900,15.5,1
458,-2.7,0,50,37900,16.5,1
472,-2.8,0,50,34300,12.6,1
448,-3.4,0,52,36300,10.2,1
478,-3.4,0,52,36300,10.2,1
484,-3.2,0,56,32100,8,1
495,-1.4,0,52,34900,16.1,1
491,-0.1,0,44,45900,25.2,1
506,1,0,39,49000,26.6,1
520,0.4,0,40,49600,25.4,1
494,0,0,42,46500,25.2,1
505,-0.9,0,43,43400,20.6,1
540,-2,0,50,37700,19,1
439,-3.5,0,49,40000,18.8,1
436,-2.8,0,50,35500,14.9,1
458,-2.8,0,50,35500,14.9,1
448,-2.9,0,51,33000,13.5,1
477,-2.9,0,51,33000,13.5,1
460,-2.9,0,57,33400,13.2,1
532,-2.9,0,57,33400,13.2,1
447,-1.2,0,51,38100,19.1,1
473,-1.2,0,51,38100,19.1,1
450,-0.1,0,43,47500,25.6,1
471,-0.1,0,43,47500,25.6,1
453,0.1,0,39,50700,26.6,1
520,0.1,0,39,50700,26.6,1
486,0.4,0,39,48400,24.2,1
515,0.4,0,39,48400,24.2,1
460,-0.2,0,41,45500,23.1,1
